title,body,author,language,country,date_written
I measure every Grief I meet,"I measure every Grief I meet
With narrow, probing, eyes – 
I wonder if It weighs like Mine – 
Or has an Easier size.

I wonder if They bore it long – 
Or did it just begin – 
I could not tell the Date of Mine – 
It feels so old a pain – 

I wonder if it hurts to live – 
And if They have to try – 
And whether – could They choose between – 
It would not be – to die – 

I note that Some – gone patient long – 
At length, renew their smile –  
An imitation of a Light
That has so little Oil – 

I wonder if when Years have piled –  
Some Thousands – on the Harm –  
That hurt them early – such a lapse
Could give them any Balm –  

Or would they go on aching still
Through Centuries of Nerve – 
Enlightened to a larger Pain –  
In Contrast with the Love –  

The Grieved – are many – I am told –  
There is the various Cause –  
Death – is but one – and comes but once –  
And only nails the eyes –  

There's Grief of Want – and grief of Cold –  
A sort they call ""Despair"" –  
There's Banishment from native Eyes – 
In sight of Native Air –  

And though I may not guess the kind –  
Correctly – yet to me
A piercing Comfort it affords
In passing Calvary –  

To note the fashions – of the Cross –  
And how they're mostly worn –  
Still fascinated to presume
That Some – are like my own – ",Emily Dickinson,English,United States of America,1890
The Savior must have been a docile Gentleman,"The Savior must have been
A docile Gentleman—
To come so far so cold a Day
For little Fellowmen—

The Road to Bethlehem
Since He and I were Boys
Was leveled, but for that 'twould be
A rugged Billion Miles—",Emily Dickinson,English,United States of America,1890
A Man may make a Remark,"A Man may make a Remark -
In itself - a quiet thing
That may furnish the Fuse unto a Spark
In dormant nature - lain -

Let us divide - with skill -
Let us discourse - with care -
Powder exists in Charcoal -
Before it exists in Fire -",Emily Dickinson,English,United States of America,1886
Come Slowly—Eden,"Come slowly—Eden
Lips unused to Thee—
Bashful—sip thy Jessamines
As the fainting Bee—

Reaching late his flower,
Round her chamber hums—
Counts his nectars—
Enters—and is lost in Balms.",Emily Dickinson,English,United States of America,1886
I tie my Hat—I crease my Shawl,"I tie my Hat—I crease my Shawl— 
Life's little duties do—precisely— 
As the very least  
Were infinite—to me— 
    
I put new Blossoms in the Glass— 
And throw the old—away— 
I push a petal from my gown  
That anchored there—I weigh  
The time 'twill be till six o'clock  
I have so much to do— 
And yet—Existence—some way back— 
Stopped—struck—my ticking—through— 
We cannot put Ourself away  
As a completed Man  
Or Woman—When the Errand's done  
We came to Flesh—upon— 
There may be—Miles on Miles of Nought— 
Of Action—sicker far— 
To simulate—is stinging work— 
To cover what we are  
From Science—and from Surgery— 
Too Telescopic Eyes  
To bear on us unshaded— 
For their—sake—not for Ours— 
Twould start them— 
We—could tremble— 
But since we got a Bomb— 
And held it in our Bosom— 
Nay—Hold it—it is calm— 
    
Therefore—we do life's labor— 
Though life's Reward—be done— 
With scrupulous exactness— 
To hold our Senses—on—",Emily Dickinson,English,United States of America,1886
Safe in their Alabaster Chambers,"Safe in their Alabaster Chambers—
Untouched by Morning
And untouched by Noon—
Sleep the meek members of the Resurrection—
Rafter of satin,
And Roof of stone.

Light laughs the breeze
In her Castle above them—
Babbles the Bee in a stolid Ear,
Pipe the Sweet Birds in ignorant cadence—
Ah, what sagacity perished here!",Emily Dickinson,English,United States of America,1859
One Sister have I in our house,"One Sister have I in our house -	
And one a hedge away.	
There's only one recorded,	
But both belong to me.	
  
One came the way that I came -	        
And wore my past year's gown -	
The other as a bird her nest,	
Builded our hearts among.	
  
She did not sing as we did -	
It was a different tune	-     
Herself to her a Music	
As Bumble-bee of June.	
  
Today is far from Childhood -
But up and down the hills	
I held her hand the tighter -	        
Which shortened all the miles -	
  
And still her hum 
The years among,	
Deceives the Butterfly;	
Still in her Eye 
The Violets lie	
Mouldered this many May.	        
  
I spilt the dew -
But took the morn, -	
I chose this single star	
From out the wide night's numbers -	
Sue - forevermore!",Emily Dickinson,English,United States of America,1886
Knows how to forget!,"Knows how to forget!
But could It teach it?
Easiest of Arts, they say
When one learn how

Dull Hearts have died
In the Acquisition
Sacrificed for Science
Is common, though, now —

I went to School
But was not wiser
Globe did not teach it
Nor Logarithm Show

""How to forget""!
Say — some — Philosopher!
Ah, to be erudite
Enough to know!

Is it in a Book?
So, I could buy it —
Is it like a Planet?
Telescopes would know —

If it be invention
It must have a Patent.
Rabbi of the Wise Book
Don't you know?",Emily Dickinson,English,United States of America,1886
Besides the Autumn poets sing,"Besides the Autumn poets sing,	
A few prosaic days	
A little this side of the snow	
And that side of the Haze -	
  
A few incisive mornings -	        
A few Ascetic eves -	
Gone - Mr Bryant's ""Golden Rod"" -	
And Mr Thomson's ""sheaves.""	
  
Still, is the bustle in the brook -	
Sealed are the spicy valves -	        
Mesmeric fingers softly touch	
The eyes of many Elves -	
  
Perhaps a squirrel may remain -	
My sentiments to share -
Grant me, Oh Lord, a sunny mind -        
Thy windy will to bear!",Emily Dickinson,English,United States of America,1886
A lane of Yellow led the eye,"A lane of Yellow led the eye
Unto a Purple Wood
Whose soft inhabitants to be
Surpasses solitude
If Bird the silence contradict
Or flower presume to show
In that low summer of the West
Impossible to know -",Emily Dickinson,English,United States of America,1886
